2015-12-20 21:31:16 [NOTICE] emotion: normal
2015-12-20 21:31:26 [NOTICE] emotion: normal
2015-12-20 21:31:37 [NOTICE] emotion: normal
2015-12-20 21:31:45 [NOTICE] emotion: normal
2015-12-20 21:32:09 [NOTICE] emotion: normal
2015-12-20 21:32:20 [NOTICE] emotion: normal
2015-12-20 21:32:25 [NOTICE] emotion: normal
2015-12-20 21:32:30 [NOTICE] emotion: normal
2015-12-20 21:32:51 [NOTICE] emotion: normal
2015-12-20 21:32:59 [NOTICE] emotion: normal
2015-12-20 21:33:13 [NOTICE] emotion: normal
2015-12-20 21:33:22 [NOTICE] emotion: normal
2015-12-20 21:33:34 [NOTICE] emotion: normal
2015-12-20 21:33:58 [NOTICE] emotion: normal
2015-12-20 21:34:07 [NOTICE] emotion: normal
2015-12-20 21:34:15 [NOTICE] emotion: normal
2015-12-20 21:34:20 [NOTICE] emotion: normal
2015-12-20 21:34:25 [NOTICE] emotion: normal
2015-12-20 21:34:39 [NOTICE] emotion: normal
2015-12-20 21:34:51 [NOTICE] emotion: normal
2015-12-20 21:35:09 [NOTICE] emotion: normal
2015-12-20 21:36:36 [NOTICE] DBを閉じて終了しました
2015-12-20 21:36:42 [NOTICE] DBを閉じて終了しました
2015-12-20 21:36:48 [NOTICE] DBを閉じて終了しました
2015-12-20 21:36:59 [NOTICE] emotion: dere
2015-12-20 21:37:03 [NOTICE] emotion: normal
2015-12-20 21:37:18 [NOTICE] emotion: normal
2015-12-20 21:37:22 [NOTICE] emotion: normal
2015-12-20 21:37:37 [NOTICE] emotion: normal
2015-12-20 21:37:42 [NOTICE] emotion: normal
2015-12-20 21:37:47 [NOTICE] emotion: normal
2015-12-20 21:37:52 [NOTICE] emotion: normal
2015-12-20 21:37:59 [NOTICE] emotion: normal
2015-12-20 21:38:07 [NOTICE] emotion: normal
2015-12-20 21:38:14 [NOTICE] emotion: normal
2015-12-20 21:38:26 [NOTICE] emotion: normal
2015-12-20 21:38:30 [NOTICE] emotion: normal
2015-12-20 21:38:42 [NOTICE] emotion: normal
2015-12-20 21:38:54 [NOTICE] emotion: normal
2015-12-20 21:39:02 [NOTICE] emotion: normal
2015-12-20 21:39:06 [NOTICE] emotion: normal
2015-12-20 21:39:27 [NOTICE] emotion: normal
2015-12-20 21:39:53 [NOTICE] emotion: normal
2015-12-20 21:40:02 [NOTICE] emotion: normal
2015-12-20 21:40:07 [NOTICE] emotion: normal
2015-12-20 21:40:23 [NOTICE] emotion: normal
2015-12-20 21:40:37 [NOTICE] emotion: normal
2015-12-20 21:40:45 [NOTICE] emotion: warai
2015-12-20 21:42:32 [NOTICE] DBを閉じて終了しました
2015-12-20 21:42:42 [NOTICE] emotion: normal
2015-12-20 21:42:54 [NOTICE] emotion: normal
2015-12-20 21:43:02 [NOTICE] emotion: normal
2015-12-20 21:43:27 [NOTICE] emotion: normal
2015-12-20 21:43:48 [NOTICE] emotion: normal
2015-12-20 21:44:11 [NOTICE] emotion: normal
2015-12-20 21:44:23 [NOTICE] emotion: normal
2015-12-20 21:45:02 [NOTICE] emotion: warai
2015-12-20 21:46:29 [NOTICE] emotion: normal
2015-12-20 21:47:43 [NOTICE] emotion: dere
2015-12-20 21:48:07 [NOTICE] emotion: normal
2015-12-20 21:48:16 [NOTICE] emotion: normal
2015-12-20 21:48:23 [NOTICE] emotion: warai
2015-12-20 21:48:34 [NOTICE] emotion: warai
2015-12-20 21:48:40 [NOTICE] emotion: warai
2015-12-20 21:49:05 [NOTICE] emotion: normal
2015-12-20 21:49:21 [NOTICE] emotion: normal
2015-12-20 21:49:29 [NOTICE] emotion: normal
2015-12-20 21:49:43 [NOTICE] emotion: normal
2015-12-20 21:49:55 [NOTICE] emotion: normal
2015-12-20 21:50:07 [NOTICE] emotion: warai
2015-12-20 21:50:35 [NOTICE] emotion: normal
2015-12-20 21:50:46 [NOTICE] emotion: normal
2015-12-20 21:50:51 [NOTICE] emotion: normal
2015-12-20 21:51:06 [NOTICE] emotion: normal
2015-12-20 21:51:22 [NOTICE] emotion: normal
2015-12-20 21:51:30 [NOTICE] emotion: normal
2015-12-20 21:51:42 [NOTICE] emotion: normal
2015-12-20 21:51:49 [NOTICE] emotion: normal
2015-12-20 21:52:00 [NOTICE] emotion: normal
2015-12-20 21:52:32 [NOTICE] emotion: normal
2015-12-20 21:52:57 [NOTICE] emotion: normal
2015-12-20 21:53:03 [NOTICE] emotion: normal
2015-12-20 21:53:09 [NOTICE] emotion: normal
2015-12-20 21:53:14 [NOTICE] emotion: normal
2015-12-20 21:53:19 [NOTICE] emotion: dere
2015-12-20 21:53:25 [NOTICE] emotion: normal
2015-12-20 21:53:28 [NOTICE] emotion: warai
2015-12-20 21:53:31 [NOTICE] emotion: normal
2015-12-20 21:53:34 [NOTICE] emotion: normal
2015-12-20 21:54:12 [NOTICE] emotion: warai
2015-12-20 21:54:35 [NOTICE] emotion: normal
2015-12-20 21:54:47 [NOTICE] emotion: normal
2015-12-20 21:54:51 [NOTICE] emotion: normal
2015-12-20 21:54:57 [NOTICE] emotion: warai
2015-12-20 21:55:10 [NOTICE] emotion: normal
2015-12-20 21:55:25 [NOTICE] emotion: warai
2015-12-20 21:55:30 [NOTICE] emotion: warai
2015-12-20 21:55:43 [NOTICE] emotion: normal
2015-12-20 21:55:57 [NOTICE] emotion: normal
2015-12-20 21:56:07 [NOTICE] emotion: normal
2015-12-20 21:56:12 [NOTICE] emotion: normal
